outcome,scenario,theta_true,setting,R,decision,decision_mcse,rmse,bias,mean_M
binary,I,0.0,c0.5,1000,0.073,0.008226238508577295,0.35048946513629264,-0.004058462317593262,119.21462144339117
binary,I,0.0,c2.0,1000,0.066,0.007851369307324678,0.3320094671954085,-0.006999158506072888,165.53454904283703
binary,I,0.0,default,1000,0.07,0.008068457101577725,0.3442224259217432,-0.004614970649335077,139.94680444491462
binary,I,0.0,invT,1000,0.065,0.007795832219846705,0.32280906432666157,-0.007810434819157069,151.26939311744982
binary,I,0.0,no_borrowing,1000,0.066,0.007851369307324678,0.37579971552587327,-0.001291191670479514,0.0
binary,I,0.5878,c0.5,1000,0.673,0.014834790190629592,0.33113469062919804,0.05457335509883676,121.35317854144758
binary,I,0.5878,c2.0,1000,0.706,0.014407081592050489,0.311775653561149,0.05064308016698317,167.95369029054837
binary,I,0.5878,default,1000,0.679,0.0147634345597493,0.3226860538715243,0.053712933330456694,142.6323249505771
binary,I,0.5878,invT,1000,0.701,0.014477534320456644,0.30369337422755616,0.04919248731765346,153.64365413194224
binary,I,0.5878,no_borrowing,1000,0.559,0.015700923539715746,0.3614330128967077,0.06196625039598616,0.0
binary,R1,0.0,c0.5,1000,0.063,0.007683163410991596,0.3633930383576379,-0.005703057134795989,30.295497245844306
binary,R1,0.0,c2.0,1000,0.072,0.008174105455644672,0.3577053285141238,0.0023728571659043353,46.171191653128126
binary,R1,0.0,default,1000,0.075,0.008329165624478841,0.3619441220047381,-0.004067954100353073,36.97688059056399
binary,R1,0.0,invT,1000,0.066,0.007851369307324678,0.3467420287954252,0.001468520059725142,42.35016027950564
binary,R1,0.0,no_borrowing,1000,0.057,0.007331507348424334,0.36620157861049724,-0.006496319549110447,0.0
binary,R1,0.5878,c0.5,1000,0.61,0.01542400726140908,0.3693354255552015,0.04408117133643882,30.159085257208957
binary,R1,0.5878,c2.0,1000,0.64,0.015178932768808221,0.3649984420069806,0.05454495787614303,45.26522433072427
binary,R1,0.5878,default,1000,0.623,0.01532550162311172,0.3675986489909282,0.04653578733873068,36.402827597812866
binary,R1,0.5878,invT,1000,0.63,0.015267612779999367,0.3542396593213983,0.05556401315607023,41.93709452598443
binary,R1,0.5878,no_borrowing,1000,0.558,0.01570464899321217,0.3756741425746047,0.04363886883068757,0.0
binary,R2,0.0,c0.5,1000,0.068,0.007960904471226871,0.35634295617546197,-0.0028632409860748246,32.12567421469458
binary,R2,0.0,c2.0,1000,0.064,0.007739767438366608,0.3488912351339205,0.004704991679308517,47.51129886252549
binary,R2,0.0,default,1000,0.063,0.007683163410991596,0.35323173449736356,-0.0003304125250897778,38.60947935420447
binary,R2,0.0,invT,1000,0.061,0.0075682891065286355,0.3393965332763705,0.0037601995551718352,43.71539540637581
binary,R2,0.0,no_borrowing,1000,0.05,0.006892024376045111,0.3637030925308473,-0.0029011465910054363,0.0
binary,R2,0.5878,c0.5,1000,0.631,0.015259062880793171,0.363028937622036,0.05820329345345894,33.728366368327116
binary,R2,0.5878,c2.0,1000,0.655,0.015032464867745409,0.359422874882967,0.06754608103295355,49.23475435086433
binary,R2,0.5878,default,1000,0.638,0.015197236590906913,0.3627182523114278,0.06080308196061699,40.22552598270658
binary,R2,0.5878,invT,1000,0.644,0.015141466243399283,0.3499340620788657,0.0631943163114905,45.05000062468956
binary,R2,0.5878,no_borrowing,1000,0.574,0.015637263187655313,0.36963144085658417,0.05388269680128408,0.0
binary,S1,0.0,c0.5,1000,0.05,0.006892024376045111,0.37020792789780554,0.00026889502546130473,6.126489685291066
binary,S1,0.0,c2.0,1000,0.054,0.007147307185227175,0.38264683688867196,-0.014993695236564894,16.075532883781527
binary,S1,0.0,default,1000,0.053,0.00708456067798138,0.3730721991822573,-0.002893011544860796,8.832810582965783
binary,S1,0.0,invT,1000,0.027,0.00512552436341883,0.3839824202455105,-0.1404193833240527,30.809970988477357
binary,S1,0.0,no_borrowing,1000,0.051,0.00695693898205238,0.36190340241550756,0.008072804530797489,0.0
binary,S1,0.5878,c0.5,1000,0.569,0.015660108556456435,0.38087173543504765,0.05268083920894913,7.739923095722262
binary,S1,0.5878,c2.0,1000,0.565,0.015677212762477903,0.3928996040310148,0.03385895775245678,19.975099810799243
binary,S1,0.5878,default,1000,0.571,0.015651166090742248,0.3836716045654755,0.04683151453114989,11.177714691268502
binary,S1,0.5878,invT,1000,0.453,0.015741378592740853,0.37278950726004484,-0.08961978169332571,33.192447563221506
binary,S1,0.5878,no_borrowing,1000,0.573,0.015641962792437528,0.37319364080684236,0.06249466378260496,0.0
binary,S2,0.0,c0.5,1000,0.058,0.007391616873188166,0.37983332646856616,-0.0003331090053119272,3.153063406170915
binary,S2,0.0,c2.0,1000,0.062,0.007626008130076967,0.3805204116787062,0.008636276191379985,5.494925482130667
binary,S2,0.0,default,1000,0.06,0.007509993342207435,0.37993631175922843,0.0011552110260826885,3.978860970615461
binary,S2,0.0,invT,1000,0.065,0.007795832219846705,0.37773614846078557,0.010342907694876502,5.276530199755698
binary,S2,0.0,no_borrowing,1000,0.057,0.007331507348424334,0.3798945436896523,-0.006240917878386141,0.0
binary,S2,0.5878,c0.5,1000,0.571,0.015651166090742248,0.3687944818506477,0.048709493020759394,3.1135141672210684
binary,S2,0.5878,c2.0,1000,0.587,0.015570195888298902,0.3701235181169835,0.05653528748677079,5.408757575182798
binary,S2,0.5878,default,1000,0.574,0.015637263187655313,0.3691951270341748,0.05126951341640663,3.918537936992472
binary,S2,0.5878,invT,1000,0.585,0.015581238718407468,0.3686039962033531,0.058826182638999566,5.231413529791713
binary,S2,0.5878,no_borrowing,1000,0.567,0.015668790636165896,0.36781528814199216,0.04348980583138676,0.0
binary,S3,0.0,c0.5,1000,0.085,0.008819013550278738,0.39354897046778575,-0.012979555665646302,15.20902051985188
binary,S3,0.0,c2.0,1000,0.111,0.00993373041711924,0.40874927571231073,0.013301811272678724,33.829874342355225
binary,S3,0.0,default,1000,0.094,0.009228434320078352,0.398183044006541,-0.0058404773477409005,21.06950215170881
binary,S3,0.0,invT,1000,0.128,0.010564847372300274,0.3977658986148303,0.08799157308251071,44.42689083698584
binary,S3,0.0,no_borrowing,1000,0.061,0.0075682891065286355,0.3863856008128704,-0.025889447253642964,0.0
binary,S3,0.5878,c0.5,1000,0.608,0.015438134602341048,0.3949165965984901,0.08781263856306924,17.230369357049856
binary,S3,0.5878,c2.0,1000,0.631,0.015259062880793171,0.4167309705729484,0.11553925606834176,36.610656584207355
binary,S3,0.5878,default,1000,0.613,0.015402305022301045,0.4019069000542578,0.09621332673318497,23.280175233445988
binary,S3,0.5878,invT,1000,0.717,0.014244683218660919,0.42248252935959885,0.18989470936473327,46.798368163982474
binary,S3,0.5878,no_borrowing,1000,0.594,0.015529455882290275,0.3793956564743434,0.07007088717818345,0.0
continuous,I,0.0,c0.5,1000,0.064,0.007739767438366608,0.13793267022032285,-0.0030763994190466664,122.87985137754245
continuous,I,0.0,c2.0,1000,0.061,0.0075682891065286355,0.13004278723112286,-0.0035707603651303796,169.4441218592865
continuous,I,0.0,default,1000,0.063,0.007683163410991596,0.13519394563997267,-0.00321702608186151,144.60162789910288
continuous,I,0.0,invT,1000,0.056,0.007270763371201128,0.1272341380868468,-0.003049941650273788,154.98058495827445
continuous,I,0.0,no_borrowing,1000,0.058,0.007391616873188166,0.1494657682979439,-0.004493725520243007,0.0
continuous,I,0.4,c0.5,1000,0.923,0.008430361795320529,0.13433618488862978,0.0028989189564354776,123.79294226950972
continuous,I,0.4,c2.0,1000,0.946,0.0071473071852271785,0.12732301266383475,0.0023803939366870254,169.4549572503823
continuous,I,0.4,default,1000,0.929,0.008121514637061239,0.13209097289943728,0.002878645615487988,145.0626309664643
continuous,I,0.4,invT,1000,0.945,0.007209368904418752,0.12455019373055685,0.0019989385273264104,155.39629727682558
continuous,I,0.4,no_borrowing,1000,0.866,0.010772372069326236,0.1450347471524455,0.0009079438954184393,0.0
continuous,R1,0.0,c0.5,1000,0.056,0.007270763371201128,0.14191031629355685,-0.003986369364462073,28.272377362253167
continuous,R1,0.0,c2.0,1000,0.063,0.007683163410991596,0.14044696018472627,-0.001061209134666492,44.5692916573098
continuous,R1,0.0,default,1000,0.067,0.007906389820898032,0.14142364101056182,-0.002646964827580473,34.925340991908726
continuous,R1,0.0,invT,1000,0.063,0.007683163410991596,0.1353262631409756,0.002228566067348564,40.44010544051296
continuous,R1,0.0,no_borrowing,1000,0.048,0.006759881655768835,0.14428806295281346,-0.005455037761476248,0.0
continuous,R1,0.4,c0.5,1000,0.901,0.009444522221901962,0.14125199953550852,0.0038066578283631777,27.89671118382054
continuous,R1,0.4,c2.0,1000,0.914,0.008865889690267975,0.1399230309844115,0.0061748638015903315,44.51860832600385
continuous,R1,0.4,default,1000,0.905,0.009272270487857868,0.1408808895331747,0.004523541852218486,34.58504644033462
continuous,R1,0.4,invT,1000,0.932,0.00796090447122687,0.13567043313466595,0.008029976059519713,40.32138815115023
continuous,R1,0.4,no_borrowing,1000,0.87,0.010634848376916336,0.14312813810240493,0.0029463698913078213,0.0
continuous,R2,0.0,c0.5,1000,0.08,0.008579044235810887,0.14414326495086272,0.008989800923401906,31.509216022522992
continuous,R2,0.0,c2.0,1000,0.084,0.008771772910877254,0.14205071484186088,0.008817845684014844,47.98373402115447
continuous,R2,0.0,default,1000,0.082,0.008676174272108648,0.14312689562426267,0.008704642166073043,38.64960066726491
continuous,R2,0.0,invT,1000,0.08,0.008579044235810887,0.13809674853359247,0.011170469815368277,43.5905068227931
continuous,R2,0.0,no_borrowing,1000,0.067,0.007906389820898032,0.14814217289194329,0.009547989165418314,0.0
continuous,R2,0.4,c0.5,1000,0.904,0.009315793041926167,0.13728369487751055,-0.0038613858068875704,31.628776683628637
continuous,R2,0.4,c2.0,1000,0.913,0.008912407082264588,0.1349473992821459,-0.002701855548266087,47.15575018969939
continuous,R2,0.4,default,1000,0.905,0.009272270487857868,0.13665835037313967,-0.0038505725689706445,38.26726376591688
continuous,R2,0.4,invT,1000,0.92,0.008579044235810886,0.13071898188961054,0.0002761741321372028,43.24754910623238
continuous,R2,0.4,no_borrowing,1000,0.877,0.010386096475577337,0.1406222024354625,-0.003963271662769048,0.0
continuous,S1,0.0,c0.5,1000,0.051,0.00695693898205238,0.1467420645299112,-0.0007684898763788559,0.0021834249174211276
continuous,S1,0.0,c2.0,1000,0.048,0.006759881655768835,0.14649539311767554,-0.001164972010035879,0.009785433120623402
continuous,S1,0.0,default,1000,0.051,0.00695693898205238,0.1467402832314316,-0.0009152802247403558,0.0035998593520490067
continuous,S1,0.0,invT,1000,0.03,0.005394441583704471,0.1552956285918541,-0.04249971706353525,7.095829500363187
continuous,S1,0.0,no_borrowing,1000,0.049,0.006826346021115542,0.1466650307638992,-0.0015003727191029734,0.0
continuous,S1,0.4,c0.5,1000,0.851,0.011260506205317771,0.15192086056962031,-0.0038869494321813135,0.018344849658995094
continuous,S1,0.4,c2.0,1000,0.85,0.011291589790636216,0.15218184323427747,-0.0036422678748327924,0.08221591357119151
continuous,S1,0.4,default,1000,0.858,0.011037934589405756,0.15210405504088656,-0.0036427235800598383,0.030245544076954563
continuous,S1,0.4,invT,1000,0.785,0.012991343271578961,0.1614715055318599,-0.04532202943290922,7.149339019924727
continuous,S1,0.4,no_borrowing,1000,0.851,0.011260506205317771,0.15200158066519476,-0.00391846909651382,0.0
continuous,S2,0.0,c0.5,1000,0.044,0.006485676526007136,0.14313046294083953,0.0005375605794102161,1.4471616547063566
continuous,S2,0.0,c2.0,1000,0.049,0.006826346021115542,0.1435817729874066,0.0036338859760983644,2.5632588476069387
continuous,S2,0.0,default,1000,0.044,0.006485676526007136,0.14336914391108949,0.0016097344887904452,1.8351507736716748
continuous,S2,0.0,invT,1000,0.051,0.00695693898205238,0.14331946483293861,0.009712990183120288,2.804402068315489
continuous,S2,0.0,no_borrowing,1000,0.043,0.006414904519944158,0.14288993455182578,-0.0003732756452742385,0.0
continuous,S2,0.4,c0.5,1000,0.874,0.010493998284733994,0.14256584757723614,0.0022891770279762336,1.3315485814915553
continuous,S2,0.4,c2.0,1000,0.88,0.010276186062932104,0.1433760467543575,0.004812407012848589,2.447846518025315
continuous,S2,0.4,default,1000,0.873,0.010529529904036551,0.142593113409704,0.0025134491070409187,1.6978974083933505
continuous,S2,0.4,invT,1000,0.887,0.010011543337567888,0.142922765034838,0.01144735639774611,2.6966537656453284
