outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,I,0.0,no_borrowing,1000,0.066,0.007851369307324678,0.929,0.008121514637061239,-0.001291191670479514,0.37579971552587327,0.0,
binary,I,0.0,pooling,1000,0.048,0.006759881655768835,0.942,0.007391616873188169,0.0001559870299143633,0.2751600690448407,300.0,
binary,I,0.0,ps_power_prior,1000,0.049,0.006826346021115542,0.947,0.007084560677981384,-0.01029950136522024,0.307656185376544,100.0,
binary,I,0.0,ps_uip_c,1000,0.067,0.007906389820898032,0.916,0.008771772910877251,-0.004708739449892203,0.3437964671095258,139.94680444491462,
binary,I,0.0,standard_uip,1000,0.048,0.006759881655768835,0.934,0.007851369307324675,-0.013642483571030189,0.29840580514140014,300.0,
binary,I,0.5878,no_borrowing,1000,0.559,0.015700923539715746,0.946,0.0071473071852271785,0.06196625039598616,0.3614330128967077,0.0,
binary,I,0.5878,pooling,1000,0.75,0.013693063937629153,0.945,0.007209368904418752,0.028702536238052776,0.26457756270067473,300.0,
binary,I,0.5878,ps_power_prior,1000,0.693,0.01458598642533305,0.952,0.006759881655768837,0.04744278823174669,0.29379692523859086,100.0,
binary,I,0.5878,ps_uip_c,1000,0.677,0.014787528529135624,0.939,0.007568289106528638,0.05337924762057371,0.32344417490028704,142.6323249505771,
binary,I,0.5878,standard_uip,1000,0.744,0.013800869537822608,0.944,0.007270763371201131,0.04595320388689463,0.2873075042271383,300.0,
binary,R1,0.0,no_borrowing,1000,0.057,0.007331507348424334,0.933,0.007906389820898028,-0.006496319549110447,0.36620157861049724,0.0,
binary,R1,0.0,pooling,1000,0.074,0.00827792244467173,0.926,0.008277922444671728,0.029448384830219543,0.29974825460666915,300.0,
binary,R1,0.0,ps_power_prior,1000,0.089,0.00900438781928011,0.9,0.009486832980505136,0.02777397752527332,0.3457733121483595,80.00657167962225,
