outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,I,0.0,no_borrowing,1000,0.066,0.007851369307324678,0.929,0.008121514637061239,-0.001291191670479514,0.37579971552587327,0.0,
binary,I,0.0,ps_power_prior,1000,0.051,0.00695693898205238,0.941,0.007451107300260817,-0.00941131947261367,0.30728148272044703,100.0,
binary,I,0.0,ps_sam,1000,0.05,0.006892024376045111,0.942,0.007391616873188169,-0.009767791402680982,0.30575538483074466,195.77105880247277,
binary,I,0.0,ps_uip_c,1000,0.07,0.008068457101577725,0.914,0.008865889690267975,-0.004626249881482434,0.3437864491513816,139.94680444491462,
binary,I,0.0,ps_uip_psonly,1000,0.067,0.007906389820898032,0.918,0.008676174272108645,-0.006532752109530683,0.33223240598836634,154.38954950928246,
binary,I,0.0,standard_uip,1000,0.043,0.006414904519944158,0.935,0.0077958322198467015,-0.012958977685072825,0.29875434548648006,300.0,
binary,I,0.5878,no_borrowing,1000,0.559,0.015700923539715746,0.946,0.0071473071852271785,0.06196625039598616,0.3614330128967077,0.0,
binary,I,0.5878,ps_power_prior,1000,0.692,0.014599178059055244,0.946,0.0071473071852271785,0.048407717100680446,0.29431296730750284,100.0,
binary,I,0.5878,ps_sam,1000,0.734,0.013972973913952606,0.956,0.006485676526007139,0.04762701369587239,0.2898279628096243,196.83083760795535,
binary,I,0.5878,ps_uip_c,1000,0.679,0.0147634345597493,0.934,0.007851369307324675,0.054122884338999776,0.3237326014140762,142.6323249505771,
binary,I,0.5878,ps_uip_psonly,1000,0.69,0.014625320509308506,0.929,0.008121514637061239,0.052979153303306034,0.3127538058384821,157.42709075077383,
binary,I,0.5878,standard_uip,1000,0.743,0.013818502089589886,0.943,0.007331507348424336,0.04562945994395357,0.28867380580481744,300.0,
binary,R1,0.0,no_borrowing,1000,0.057,0.007331507348424334,0.933,0.007906389820898028,-0.006496319549110447,0.36620157861049724,0.0,
binary,R1,0.0,ps_power_prior,1000,0.093,0.009184280047995052,0.902,0.009401914698613255,0.02777323006500551,0.3450730601215447,80.00657167962225,
binary,R1,0.0,ps_sam,1000,0.08,0.008579044235810887,0.93,0.008068457101577721,0.014969438998087286,0.33942311517642254,64.11588488777578,
binary,R1,0.0,ps_uip_c,1000,0.072,0.008174105455644672,0.909,0.009094998625618366,-0.003829720091523896,0.3631518748517596,36.97688059056399,
binary,R1,0.0,ps_uip_psonly,1000,0.071,0.008121514637061242,0.919,0.008627803892068941,0.002744823376863729,0.3575590600328821,43.20023917400002,
binary,R1,0.0,standard_uip,1000,0.072,0.008174105455644672,0.931,0.008014923580421711,0.022040044067073664,0.3201487068986945,300.0,
binary,R1,0.5878,no_borrowing,1000,0.558,0.01570464899321217,0.936,0.007739767438366605,0.04363886883068757,0.3756741425746047,0.0,
binary,R1,0.5878,ps_power_prior,1000,0.709,0.014363808687113596,0.884,0.010126401137620413,0.09102005862026899,0.36164528899570053,80.46485711625506,
binary,R1,0.5878,ps_sam,1000,0.676,0.014799459449588015,0.924,0.008379976133617564,0.07703192047060568,0.34846382507833806,64.02141330436305,
binary,R1,0.5878,ps_uip_c,1000,0.616,0.015379986996093333,0.916,0.008771772910877251,0.04779689575961303,0.3694867262220311,36.402827597812866,
binary,R1,0.5878,ps_uip_psonly,1000,0.633,0.015241751867813621,0.906,0.009228434320078352,0.05503345070040119,0.3655832602103548,42.258817455201,
binary,R1,0.5878,standard_uip,1000,0.701,0.014477534320456644,0.92,0.008579044235810886,0.08577153899341673,0.3321257943125921,300.0,
binary,R2,0.0,no_borrowing,1000,0.05,0.006892024376045111,0.942,0.007391616873188169,-0.0029011465910054363,0.3637030925308473,0.0,
binary,R2,0.0,ps_power_prior,1000,0.073,0.008226238508577295,0.932,0.00796090447122687,0.027313090991368378,0.3305962391900506,76.97209668655408,
binary,R2,0.0,ps_sam,1000,0.052,0.007021111023192838,0.947,0.007084560677981384,0.017180611767775116,0.3225092903567974,63.85441219937561,
binary,R2,0.0,ps_uip_c,1000,0.065,0.007795832219846705,0.929,0.008121514637061239,-0.0008443360176587307,0.3542388719363858,38.60947935420447,
binary,R2,0.0,ps_uip_psonly,1000,0.066,0.007851369307324678,0.93,0.008068457101577721,0.005343684588172911,0.3477293939624336,43.77042574986476,
binary,R2,0.0,standard_uip,1000,0.06,0.007509993342207435,0.946,0.0071473071852271785,0.02787117499030521,0.3132586741151271,300.0,
binary,R2,0.5878,no_borrowing,1000,0.574,0.015637263187655313,0.938,0.00762600813007697,0.05388269680128408,0.36963144085658417,0.0,
binary,R2,0.5878,ps_power_prior,1000,0.694,0.014572714228996602,0.907,0.009184280047995052,0.08669637624992478,0.35550890373464356,76.14926226333846,
binary,R2,0.5878,ps_sam,1000,0.673,0.014834790190629592,0.927,0.008226238508577293,0.07482895883144905,0.34761203641161575,64.09241432871319,
binary,R2,0.5878,ps_uip_c,1000,0.64,0.015178932768808221,0.926,0.008277922444671728,0.06019287872019039,0.3610163340322017,40.22552598270658,
binary,R2,0.5878,ps_uip_psonly,1000,0.65,0.015083103128998356,0.914,0.008865889690267975,0.06334823764320167,0.35789783609118136,45.24704853263537,
binary,R2,0.5878,standard_uip,1000,0.701,0.014477534320456644,0.926,0.008277922444671728,0.08709026821936851,0.3338235038179249,300.0,
