outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,I,0.0,no_borrowing,1000,0.067,0.007906389820898032,0.921,0.008529888627643386,0.014613655113571199,0.43382789949210754,0.0,
binary,I,0.0,pooling,1000,0.066,0.007851369307324678,0.937,0.007683163410991592,0.011718133684043442,0.2634172086108439,300.0,
binary,I,0.0,ps_power_prior,1000,0.044,0.006485676526007136,0.951,0.006826346021115546,0.0002507303135931593,0.3201779320941867,60.0,
binary,I,0.0,ps_uip_c,1000,0.08,0.008579044235810887,0.904,0.009315793041926167,0.007071617600005249,0.3715642301851324,130.14502272172516,
binary,I,0.0,standard_uip,1000,0.065,0.007795832219846705,0.93,0.008068457101577721,-0.004713394432450073,0.29730344020484983,300.0,
binary,I,0.5878,no_borrowing,1000,0.522,0.015796075461962062,0.917,0.008724161850859943,0.08047018657449342,0.43382139040904333,0.0,
binary,I,0.5878,pooling,1000,0.782,0.013056645817360598,0.943,0.007331507348424336,0.0337915430226853,0.2613283506192461,300.0,
binary,I,0.5878,ps_power_prior,1000,0.669,0.014880826589944525,0.95,0.006892024376045114,0.06275510503054937,0.31644559858985055,60.0,
binary,I,0.5878,ps_uip_c,1000,0.704,0.014435511767859151,0.899,0.009528850927577784,0.0740182884864285,0.37207569757410425,128.4018741311567,
binary,I,0.5878,standard_uip,1000,0.754,0.013619251080731275,0.933,0.007906389820898028,0.05442371800598189,0.2928773878201358,300.0,
binary,R1,0.0,no_borrowing,1000,0.058,0.007391616873188166,0.934,0.007851369307324675,0.022822266261416476,0.409315345293313,0.0,
binary,R1,0.0,pooling,1000,0.064,0.007739767438366608,0.939,0.007568289106528638,0.031146110211710383,0.2873662580625305,300.0,
binary,R1,0.0,ps_power_prior,1000,0.084,0.008771772910877254,0.915,0.008819013550278736,0.030204753086310918,0.35556997133085827,55.78694250384858,
binary,R1,0.0,ps_uip_c,1000,0.078,0.008480330182251162,0.914,0.008865889690267975,0.026564709456428418,0.38194541416958533,37.954049156382446,
binary,R1,0.0,standard_uip,1000,0.064,0.007739767438366608,0.936,0.007739767438366605,0.029767437007803595,0.32430429410441863,300.0,
binary,R1,0.5878,no_borrowing,1000,0.486,0.015805189021330938,0.931,0.008014923580421711,0.06650540225693215,0.4309299248448246,0.0,
binary,R1,0.5878,pooling,1000,0.744,0.013800869537822608,0.909,0.009094998625618366,0.0768013058250509,0.3183494314633724,300.0,
binary,R1,0.5878,ps_power_prior,1000,0.69,0.014625320509308506,0.888,0.00997276290703835,0.10284081863019995,0.3803475571245606,55.981953808149456,
binary,R1,0.5878,ps_uip_c,1000,0.613,0.015402305022301045,0.903,0.009359006357514668,0.07615232757171946,0.4063054962305578,37.577523412768684,
binary,R1,0.5878,standard_uip,1000,0.715,0.014274978108564651,0.908,0.009139803061335619,0.09825115122888567,0.3452990114118968,300.0,
binary,R2,0.0,no_borrowing,1000,0.062,0.007626008130076967,0.926,0.008277922444671728,0.01281720659804182,0.4366966493570752,0.0,
binary,R2,0.0,pooling,1000,0.068,0.007960904471226871,0.927,0.008226238508577293,0.0339874691970223,0.2936019156313781,300.0,
binary,R2,0.0,ps_power_prior,1000,0.082,0.008676174272108648,0.913,0.008912407082264588,0.0363250130007889,0.3707607555002983,53.725128387215754,
binary,R2,0.0,ps_uip_c,1000,0.079,0.008529888627643388,0.907,0.009184280047995052,0.018864307501392032,0.40494391356155085,39.21165117573385,
binary,R2,0.0,standard_uip,1000,0.079,0.008529888627643388,0.934,0.007851369307324675,0.03635167819754005,0.33277051060269475,300.0,
binary,R2,0.5878,no_borrowing,1000,0.511,0.015807561481771943,0.93,0.008068457101577721,0.08358401045429124,0.43942226897703845,0.0,
binary,R2,0.5878,pooling,1000,0.757,0.013562853682024296,0.921,0.008529888627643386,0.08887645124992238,0.30938482450375754,300.0,
binary,R2,0.5878,ps_power_prior,1000,0.674,0.01482309009619789,0.883,0.010164201887015036,0.09232042309929779,0.3862035563746794,53.68572981283943,
binary,R2,0.5878,ps_uip_c,1000,0.624,0.015317441039547044,0.899,0.009528850927577784,0.09182279075295342,0.41261537891609007,38.69325327411308,
binary,R2,0.5878,standard_uip,1000,0.721,0.014183053267896867,0.911,0.009004387819280108,0.10687258825142222,0.3485175286011297,300.0,
binary,S1,0.0,no_borrowing,1000,0.058,0.007391616873188166,0.936,0.007739767438366605,0.003348887785451854,0.42008202855933363,0.0,
binary,S1,0.0,pooling,1000,0.0,0.0,0.197,0.012577400367325514,-0.7039654485542697,0.7501054495251324,300.0,
binary,S1,0.0,ps_power_prior,1000,0.0,0.0,0.716,0.014259873772232349,-0.4513456867304817,0.5470396513585476,60.0,
binary,S1,0.0,ps_uip_c,1000,0.058,0.007391616873188166,0.876,0.010422283818818216,-0.04075480945767911,0.45612168762608685,20.770047141902026,
binary,S1,0.0,standard_uip,1000,0.0,0.0,0.279,0.014183053267896867,-0.7016465274347174,0.7582102831586952,300.0,
binary,S1,0.5878,no_borrowing,1000,0.466,0.01577479001445027,0.935,0.0077958322198467015,0.05947957415845091,0.41934473611511225,0.0,
binary,S1,0.5878,pooling,1000,0.02,0.004427188724235731,0.212,0.012925014506761685,-0.6693395123961574,0.7126328299933125,300.0,
binary,S1,0.5878,ps_power_prior,1000,0.138,0.01090669519148674,0.779,0.01312093746650749,-0.3857481870304435,0.4829351350161816,60.0,
binary,S1,0.5878,ps_uip_c,1000,0.466,0.01577479001445027,0.884,0.010126401137620413,0.014651099056362886,0.4447780400453152,23.69554954625835,
binary,S1,0.5878,standard_uip,1000,0.033,0.005648982209212559,0.348,0.015063067416698366,-0.6303357494798252,0.6859265766788977,300.0,
binary,S2,0.0,no_borrowing,1000,0.058,0.007391616873188166,0.935,0.0077958322198467015,0.007562537970283047,0.4238939438576906,0.0,
binary,S2,0.0,pooling,1000,0.391,0.015431104950715617,0.717,0.014244683218660919,0.42155459804073403,0.52936336950741,300.0,
binary,S2,0.0,ps_power_prior,1000,0.137,0.010873407929439602,0.897,0.009612023720320294,0.1402290339620415,0.4557054974053051,27.049016032150096,
binary,S2,0.0,ps_uip_c,1000,0.069,0.008014923580421713,0.923,0.008430361795320529,0.020521339954408902,0.4291170941514557,4.368561430208353,
binary,S2,0.0,standard_uip,1000,0.224,0.013184233007649706,0.851,0.011260506205317771,0.30638462519666193,0.48823205061248814,300.0,
binary,S2,0.5878,no_borrowing,1000,0.505,0.01581059771166163,0.927,0.008226238508577293,0.07812140733878095,0.44026026857892325,0.0,
binary,S2,0.5878,pooling,1000,0.951,0.006826346021115546,0.711,0.0143345387090063,0.4443974765080754,0.566950379139766,300.0,
binary,S2,0.5878,ps_power_prior,1000,0.687,0.014663935351739654,0.865,0.010806248192596726,0.23632716770058426,0.49619220777308476,27.41944224534526,
binary,S2,0.5878,ps_uip_c,1000,0.539,0.015763216676808068,0.912,0.008958571314668425,0.09463350335534912,0.4474414933847065,4.5692672305161555,
