outcome,delta,theta_true,method,R,decision,rmse,bias
binary,-0.8,0.0,ps_power_prior,1000,0.257,0.44635060882704963,0.31841386403727545
binary,-0.8,0.0,ps_uip_c,1000,0.088,0.37889097348195033,0.017631909846073632
binary,-0.8,0.0,standard_uip,1000,0.524,0.5891480871414572,0.5029357273707754
binary,-0.8,0.5878,ps_power_prior,1000,0.932,0.5070244418274481,0.38989026283335876
binary,-0.8,0.5878,ps_uip_c,1000,0.585,0.4083701607727404,0.07885835932644979
binary,-0.8,0.5878,standard_uip,1000,0.986,0.6625911263146129,0.5846230338331233
binary,-0.6,0.0,ps_power_prior,1000,0.219,0.41241110181955176,0.26845166779448
binary,-0.6,0.0,ps_uip_c,1000,0.1,0.3808266342793152,0.04910784893617344
binary,-0.6,0.0,standard_uip,1000,0.401,0.5062679126120794,0.40181879153905603
binary,-0.6,0.5878,ps_power_prior,1000,0.897,0.4664876506535144,0.3294113202838777
binary,-0.6,0.5878,ps_uip_c,1000,0.626,0.4216300072620423,0.10901743072718198
binary,-0.6,0.5878,standard_uip,1000,0.962,0.567633769492661,0.46935732545020736
binary,-0.4,0.0,ps_power_prior,1000,0.154,0.36357949808666895,0.1788017832733271
binary,-0.4,0.0,ps_uip_c,1000,0.111,0.386072091917847,0.04663767124953975
binary,-0.4,0.0,standard_uip,1000,0.245,0.40614422562945346,0.266086067347504
binary,-0.4,0.5878,ps_power_prior,1000,0.86,0.40984316790934366,0.2559616966727119
binary,-0.4,0.5878,ps_uip_c,1000,0.693,0.40228427794392263,0.1286139396536368
binary,-0.4,0.5878,standard_uip,1000,0.931,0.4602786660710926,0.3408309262714024
binary,-0.2,0.0,ps_power_prior,1000,0.099,0.32076542179000617,0.09588201384039163
binary,-0.2,0.0,ps_uip_c,1000,0.105,0.3520304795109753,0.04475419625980788
binary,-0.2,0.0,standard_uip,1000,0.137,0.3256741819899483,0.13498139353490687
binary,-0.2,0.5878,ps_power_prior,1000,0.802,0.33908280885663333,0.15152102907559162
binary,-0.2,0.5878,ps_uip_c,1000,0.721,0.35768278614077964,0.1015043434695096
binary,-0.2,0.5878,standard_uip,1000,0.869,0.351201844409065,0.18899506890174028
binary,0.0,0.0,ps_power_prior,1000,0.058,0.3138817021720407,-0.013842279125792133
binary,0.0,0.0,ps_uip_c,1000,0.079,0.35800605873563407,-0.006994038221844887
binary,0.0,0.0,standard_uip,1000,0.062,0.3011256352352861,-0.017970306932331516
binary,0.0,0.5878,ps_power_prior,1000,0.668,0.30447686412004854,0.041179223511066225
binary,0.0,0.5878,ps_uip_c,1000,0.679,0.3340845551169473,0.03582413407275841
binary,0.0,0.5878,standard_uip,1000,0.719,0.29698775576442843,0.03797586310865939
binary,0.2,0.0,ps_power_prior,1000,0.021,0.33271737874787244,-0.13202712598916105
binary,0.2,0.0,ps_uip_c,1000,0.046,0.3621056264814835,-0.06448648341311172
binary,0.2,0.0,standard_uip,1000,0.018,0.3465573118133347,-0.17776082134709162
binary,0.2,0.5878,ps_power_prior,1000,0.533,0.30193473884807653,-0.06451534536248164
binary,0.2,0.5878,ps_uip_c,1000,0.607,0.3467706718899854,0.01023840003952729
binary,0.2,0.5878,standard_uip,1000,0.506,0.3079531710392388,-0.11104894999992886
binary,0.4,0.0,ps_power_prior,1000,0.005,0.39572872540154214,-0.2480181274705948
binary,0.4,0.0,ps_uip_c,1000,0.055,0.40776187613513787,-0.08387394294076043
binary,0.4,0.0,standard_uip,1000,0.0,0.44785436746015994,-0.33537546690032505
binary,0.4,0.5878,ps_power_prior,1000,0.348,0.3531563470047627,-0.20144996701171486
binary,0.4,0.5878,ps_uip_c,1000,0.527,0.37983391567887503,-0.0206872385047588
binary,0.4,0.5878,standard_uip,1000,0.27,0.4073811383315803,-0.2925069996514322
binary,0.6,0.0,ps_power_prior,1000,0.002,0.4493935533979254,-0.3379282725652314
binary,0.6,0.0,ps_uip_c,1000,0.055,0.3879046336575119,-0.038058060443179616
binary,0.6,0.0,standard_uip,1000,0.0,0.552175514270082,-0.4693537440044117
binary,0.6,0.5878,ps_power_prior,1000,0.26,0.41702749688719276,-0.29098283388487906
